Control,length_mu
sd24_10x1a10_roothairs.csv,227.8956777
sd24_10x1a11_roothairs.csv,312.5737493
sd24_10x1a12_roothairs.csv,232.4676208
sd24_10x1a1_roothairs.csv,194.6556214
sd24_10x1a2_roothairs.csv,278.3595451
sd24_10x1a3_roothairs.csv,264.4745837
sd24_10x1a4_roothairs.csv,253.5538353
sd24_10x1a5_roothairs.csv,282.6448669
sd24_10x1a7_roothairs.csv,291.7494085
sd24_10x1a8_roothairs.csv,160.1995513
sd24_10x1a9_roothairs.csv,253.0226955
sd24_10x2a1_roothairs.csv,246.9941236
sd24_10x2a2_roothairs.csv,282.1870948
sd24_10x2a3_roothairs.csv,279.5103159
sd24_10x2a4_roothairs.csv,202.3044281
sd24_10x2a5_roothairs.csv,355.0387923
sd24_10x2a6_roothairs.csv,266.4743469
sd24_10x2a7_roothairs.csv,314.4584351
sd24_10x2a8_roothairs.csv,303.7152396
sd24_10x3a1_roothairs.csv,276.9661255
sd24_10x3a2_roothairs.csv,246.4657745
sd24_10x3a3_roothairs.csv,260.3026428
sd24_10x3a4_roothairs.csv,355.1666565
sd24_10x3a5_roothairs.csv,286.2670898
sd24_10x3a6_roothairs.csv,297.14082
sd24_10x3a7_roothairs.csv,237.5383148
sd24_10x4a11_roothairs.csv,216.3065889
sd24_10x4a12_roothairs.csv,259.3528137
sd24_10x4a13_roothairs.csv,236.9273071
sd24_10x4a1_roothairs.csv,251.4732346
sd24_10x4a2_roothairs.csv,313.4872513
sd24_10x4a3_roothairs.csv,304.5406269
sd24_10x4a4_roothairs.csv,273.4417725
sd24_10x4a5_roothairs.csv,359.7449341
sd24_10x4a6_roothairs.csv,324.1343994
sd24_10x4a7_roothairs.csv,217.8540497
sd24_10x4a8_roothairs.csv,269.4523926
sd24_10x4a9_roothairs.csv,225.5917383
sd24_10x5a10_roothairs.csv,383.7273175
sd24_10x5a11_roothairs.csv,280.4618498
sd24_10x5a12_roothairs.csv,299.4190473
sd24_10x5a13_roothairs.csv,211.8936157
sd24_10x5a1_roothairs.csv,436.2131218
sd24_10x5a2_roothairs.csv,285.5498566
sd24_10x5a3_roothairs.csv,215.9632045
